Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2021,3608004,place,"Breesport, NY",-76.7359075,42.184035,"{-76.748338,42.166279,-76.726122,42.195058}"
2021,3608026,place,"Brentwood, NY",-73.252235,40.7839183,"{-73.295162,40.754762,-73.209234,40.808315}"
2021,3608059,place,"Brewerton, NY",-76.14482,43.2324317,"{-76.157647,43.216234,-76.117215,43.25706}"
2021,3608070,place,"Brewster, NY",-73.6162687,41.396162,"{-73.624745,41.391301,-73.601948,41.404003}"
2021,3608081,place,"Brewster Heights, NY",-73.6285683,41.4072765,"{-73.635705,41.4002,-73.620558,41.415701}"
2021,3608092,place,"Brewster Hill, NY",-73.6068641,41.4213039,"{-73.614944,41.411115,-73.597139,41.434049}"
2021,3608103,place,"Briarcliff Manor, NY",-73.8475045,41.1403331,"{-73.88758,41.120663,-73.809582,41.164873}"
2021,3608136,place,"Bridgehampton, NY",-72.3057087,40.9411311,"{-72.351853,40.88452,-72.261232,40.978578}"
2021,3608147,place,"Bridgeport, NY",-75.9639133,43.1592364,"{-75.994709,43.14374,-75.954788,43.168184}"
2021,3608158,place,"Bridgeville, NY",-74.6276076,41.631016,"{-74.649942,41.619705,-74.60167,41.645017}"
2021,3608169,place,"Bridgewater, NY",-75.2519931,42.8787319,"{-75.263956,42.868695,-75.239722,42.888057}"
2021,3608257,place,"Brighton, NY",-77.5809761,43.1184982,"{-77.680523,43.092038,-77.516541,43.167615}"
2021,3608323,place,"Brightwaters, NY",-73.2615138,40.7164346,"{-73.275462,40.702323,-73.248764,40.732428}"
2021,3608334,place,"Brinckerhoff, NY",-73.8628802,41.5534719,"{-73.88484,41.538824,-73.842628,41.560405}"
2021,3608422,place,"Broadalbin, NY",-74.1954215,43.0555326,"{-74.20931,43.036183,-74.183507,43.068144}"
2021,3608466,place,"Brockport, NY",-77.9408242,43.2132974,"{-77.967952,43.205461,-77.912135,43.223622}"
2021,3608488,place,"Brocton, NY",-79.4428152,42.389719,"{-79.456118,42.379338,-79.428315,42.40487}"
2021,3608532,place,"Bronxville, NY",-73.8264399,40.9394931,"{-73.83866,40.931053,-73.814064,40.948492}"
2021,3609000,place,"Brookhaven, NY",-72.9078329,40.7766706,"{-72.938078,40.757373,-72.881948,40.80231}"
2021,3610077,place,"Brooktondale, NY",-76.3969565,42.3819656,"{-76.414007,42.375909,-76.387472,42.390099}"
2021,3610132,place,"Brookville, NY",-73.570122,40.8079116,"{-73.617765,40.796596,-73.537067,40.828141}"
2021,3610231,place,"Brownville, NY",-75.9830702,44.0053068,"{-75.992357,43.999678,-75.973374,44.011598}"
2021,3610286,place,"Brushton, NY",-74.5119078,44.8306806,"{-74.524125,44.827393,-74.50169,44.833985}"
2021,3610341,place,"Buchanan, NY",-73.944966,41.2631679,"{-73.964184,41.249891,-73.930163,41.276393}"
2021,3611000,place,"Buffalo, NY",-78.8596862,42.8924919,"{-78.956877,42.826023,-78.795157,42.966455}"
2021,3611132,place,"Burdett, NY",-76.843963,42.4168725,"{-76.855749,42.407596,-76.826102,42.425064}"
2021,3611154,place,"Burke, NY",-74.1699785,44.903146,"{-74.174169,44.896765,-74.164996,44.909884}"
2021,3611220,place,"Burlington Flats, NY",-75.1843221,42.7403061,"{-75.197818,42.714588,-75.16441,42.764493}"
2021,3611440,place,"Busti, NY",-79.2789021,42.0423245,"{-79.294784,42.027739,-79.261863,42.056759}"
2021,3611550,place,"Byersville, NY",-77.7915234,42.5838824,"{-77.801242,42.578523,-77.781296,42.589106}"
2021,3611616,place,"Cadyville, NY",-73.6534397,44.6984954,"{-73.667585,44.687428,-73.616546,44.704703}"
2021,3611638,place,"Cairo, NY",-74.0118297,42.3051752,"{-74.037377,42.282644,-73.979548,42.325621}"
2021,3611671,place,"Calcium, NY",-75.8493884,44.0409331,"{-75.867397,44.012502,-75.819671,44.067496}"
2021,3611704,place,"Caledonia, NY",-77.8570795,42.9754671,"{-77.876167,42.964607,-77.840019,42.987963}"
2021,3611748,place,"Callicoon, NY",-75.0579492,41.7659274,"{-75.073318,41.756153,-75.04361,41.773918}"
2021,3611781,place,"Calverton, NY",-72.7733697,40.9199403,"{-72.842526,40.864879,-72.687538,40.957736}"
2021,3611825,place,"Cambridge, NY",-73.3812963,43.0279751,"{-73.399203,43.017759,-73.364091,43.038939}"
2021,3611847,place,"Camden, NY",-75.7477298,43.3364774,"{-75.764502,43.324724,-75.724333,43.351291}"
2021,3611902,place,"Camillus, NY",-76.3099282,43.0386629,"{-76.318578,43.032386,-76.299935,43.043621}"
2021,3611935,place,"Campbell, NY",-77.1936939,42.235043,"{-77.212199,42.222261,-77.172467,42.246401}"
2021,3612111,place,"Canajoharie, NY",-74.5678692,42.8990805,"{-74.587304,42.879054,-74.555321,42.909662}"
2021,3612144,place,"Canandaigua, NY",-77.2803208,42.8889987,"{-77.309246,42.868481,-77.249932,42.91188}"
2021,3612177,place,"Canaseraga, NY",-77.7772703,42.4617618,"{-77.787149,42.454025,-77.767288,42.469537}"
2021,3612188,place,"Canastota, NY",-75.7554947,43.0841487,"{-75.776324,43.067301,-75.734415,43.100776}"
2021,3612210,place,"Candor, NY",-76.3366715,42.228395,"{-76.344198,42.221275,-76.329505,42.235234}"
2021,3612254,place,"Canisteo, NY",-77.6056583,42.2703537,"{-77.618065,42.259119,-77.590035,42.281698}"
2021,3612331,place,"Canton, NY",-75.1665845,44.599995,"{-75.19394,44.579153,-75.13027,44.625252}"
2021,3612353,place,"Cape Vincent, NY",-76.3307343,44.1231968,"{-76.346284,44.117863,-76.314782,44.13357}"
2021,3612402,place,"Captree, NY",-73.2570513,40.6460744,"{-73.279761,40.626653,-73.239576,40.660356}"
2021,3612419,place,"Carle Place, NY",-73.6123674,40.7498951,"{-73.624059,40.742078,-73.600084,40.758266}"
2021,3612518,place,"Carmel, NY",-73.684986,41.4029948,"{-73.730812,41.386275,-73.653187,41.439702}"
2021,3612584,place,"Caroga Lake, NY",-74.4814231,43.1340033,"{-74.51236,43.121705,-74.456925,43.147379}"
2021,3612683,place,"Carthage, NY",-75.6030119,43.9828761,"{-75.628296,43.966311,-75.576204,44.009431}"
2021,3612749,place,"Cassadaga, NY",-79.317023,42.3415641,"{-79.330867,42.331646,-79.302747,42.349359}"
2021,3612771,place,"Castile, NY",-78.0525886,42.6311557,"{-78.068421,42.621493,-78.039969,42.639026}"
2021,3612870,place,"Castleton-on-Hudson, NY",-73.7479239,42.5365677,"{-73.759038,42.525767,-73.730767,42.543454}"
2021,3612881,place,"Castorland, NY",-75.5164385,43.8861049,"{-75.525744,43.879341,-75.506181,43.896071}"
2021,3612958,place,"Cato, NY",-76.567506,43.1655676,"{-76.583291,43.160322,-76.562345,43.175661}"
2021,3613002,place,"Catskill, NY",-73.8586739,42.2149014,"{-73.889574,42.195633,-73.849203,42.227777}"
2021,3613024,place,"Cattaraugus, NY",-78.8675189,42.3297635,"{-78.87866,42.318064,-78.854404,42.338663}"
2021,3613068,place,"Cayuga, NY",-76.727987,42.9195478,"{-76.73918,42.907136,-76.711492,42.927718}"
2021,3613079,place,"Cayuga Heights, NY",-76.4884173,42.4676754,"{-76.504944,42.456149,-76.475049,42.478127}"
2021,3613145,place,"Cazenovia, NY",-75.85132,42.9279158,"{-75.871551,42.91647,-75.834934,42.94071}"
2021,3613233,place,"Cedarhurst, NY",-73.7278305,40.625202,"{-73.737345,40.617166,-73.717079,40.633865}"
2021,3613288,place,"Celoron, NY",-79.2776909,42.1052106,"{-79.28806,42.09973,-79.266174,42.111664}"
2021,3613299,place,"Cementon, NY",-73.919324,42.1356663,"{-73.926233,42.129159,-73.912245,42.142042}"
2021,3613376,place,"Centereach, NY",-73.0820806,40.8680581,"{-73.109474,40.831519,-73.057734,40.906212}"
2021,3613420,place,"Center Moriches, NY",-72.7965239,40.7993128,"{-72.818963,40.776674,-72.77196,40.824713}"
2021,3613442,place,"Centerport, NY",-73.3714271,40.9024249,"{-73.392264,40.875151,-73.350713,40.920697}"
2021,3613530,place,"Central Bridge, NY",-74.3495314,42.7126906,"{-74.365043,42.690201,-74.322292,42.726989}"
2021,3613552,place,"Central Islip, NY",-73.1944751,40.783589,"{-73.23081,40.755678,-73.154709,40.805761}"
2021,3613585,place,"Central Square, NY",-76.1418794,43.285986,"{-76.159698,43.272125,-76.124971,43.304014}"
2021,3613618,place,"Centre Island, NY",-73.5219193,40.898546,"{-73.534164,40.885354,-73.507673,40.918312}"
2021,3613662,place,"Chadwicks, NY",-75.2709763,43.0291388,"{-75.285582,43.019196,-75.252561,43.043149}"
2021,3613739,place,"Champlain, NY",-73.4324289,44.9882806,"{-73.459903,44.97832,-73.419539,44.99571}"
2021,3613805,place,"Chappaqua, NY",-73.7682679,41.155922,"{-73.77805,41.14414,-73.755873,41.170684}"
2021,3613981,place,"Chateaugay, NY",-74.0803981,44.9265894,"{-74.095548,44.918477,-74.068766,44.934086}"
2021,3614003,place,"Chatham, NY",-73.5979417,42.3618299,"{-73.608585,42.348461,-73.585488,42.375469}"
2021,3614036,place,"Chaumont, NY",-76.1327478,44.0683501,"{-76.148721,44.056263,-76.116918,44.077048}"
2021,3614058,place,"Chautauqua, NY",-79.4690149,42.2100774,"{-79.480298,42.202332,-79.458904,42.217094}"
2021,3614102,place,"Chazy, NY",-73.4292003,44.8908512,"{-73.452966,44.879147,-73.412726,44.908166}"
2021,3615000,place,"Cheektowaga, NY",-78.7507627,42.9090045,"{-78.799904,42.863525,-78.696912,42.951072}"
2021,3615060,place,"Chelsea Cove, NY",-73.7470116,41.6132446,"{-73.752441,41.609534,-73.740625,41.61712}"
2021,3615121,place,"Chenango Bridge, NY",-75.8577186,42.1714275,"{-75.88543,42.160476,-75.829579,42.182851}"
2021,3615187,place,"Cherry Creek, NY",-79.1008582,42.2958455,"{-79.111769,42.28693,-79.089946,42.304785}"
2021,3615242,place,"Cherry Valley, NY",-74.7521705,42.7981799,"{-74.760953,42.792251,-74.740611,42.804612}"
2021,3615297,place,"Chester, NY",-74.276921,41.3569418,"{-74.298853,41.341991,-74.249411,41.371274}"
2021,3615363,place,"Chestertown, NY",-73.7835218,43.6431116,"{-73.819572,43.62745,-73.76983,43.662644}"
2021,3615400,place,"Chestnut Ridge, NY",-74.0480705,41.0849075,"{-74.081706,41.063458,-74.032591,41.102075}"
2021,3615561,place,"Chittenango, NY",-75.8747688,43.0461412,"{-75.903992,43.02813,-75.853822,43.061043}"
2021,3615638,place,"Churchville, NY",-77.8815861,43.102261,"{-77.894315,43.090458,-77.863744,43.117162}"
